speaker;ящерица;мышь;лягушка;еж;белка;крот;летучая мышь;змея;суслик;заяц;кошка ;черепаха (сухопутная);барсук;енот;курица;петух;выдра;собака;шакал;лиса;коза;овца;козел ;горный козел;волк;косуля;осел;баран ;рысь;олень;кабан;мул;крокодил;тигр;жеребец;телка ;корова;лев;кобыла;лошадь;вол;бык ;верблюд;медведь;слон
1;2;2;2;10;10;10;10;10;10;10;10;10;10;10;10;10;24;24;24;24;24;24;24;24;24;24;24;38;24;24;24;38;38;38;38;24;38;38;38;38;38;38;38;38;45
2;4;4;4;4;4;4;4;12;12;12;12;23;12;12;12;12;12;23;23;23;23;23;23;23;36,5;36,5;23;23;36,5;36,5;23;23;23;36,5;36,5;36,5;36,5;36,5;36,5;36,5;36,5;36,5;36,5;44,5;44,5
3;6,42857142857143;6,42857142857143;6,42857142857143;6,42857142857143;6,42857142857143;6,42857142857143;6,42857142857143;;6,42857142857143;6,42857142857143;6,42857142857143;;17,6785714285714;17,6785714285714;17,6785714285714;17,6785714285714;6,42857142857143;;34,2857142857143;34,2857142857143;17,6785714285714;17,6785714285714;17,6785714285714;17,6785714285714;34,2857142857143;17,6785714285714;34,2857142857143;17,6785714285714;34,2857142857143;34,2857142857143;34,2857142857143;34,2857142857143;34,2857142857143;34,2857142857143;34,2857142857143;34,2857142857143;34,2857142857143;34,2857142857143;34,2857142857143;34,2857142857143;34,2857142857143;34,2857142857143;34,2857142857143;34,2857142857143;34,2857142857143
4;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;24,5;8,5;8,5;8,5;8,5;24,5;8,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;39;39;24,5;39;39;39;39;39;39;39;39;39;39;39
5;3,5;3,5;3,5;3,5;12,5;12,5;12,5;3,5;12,5;12,5;12,5;3,5;12,5;12,5;12,5;12,5;12,5;12,5;27;27;27;27;27;27;27;27;27;40,5;27;27;40,5;40,5;27;27;27;40,5;27;27;40,5;27;40,5;40,5;40,5;40,5;40,5
6;4;4;4;4;4;4;13;13;13;13;13;4;13;13;13;13;13;25,5;13;25,5;25,5;25,5;25,5;25,5;25,5;25,5;25,5;25,5;25,5;25,5;38,5;25,5;38,5;38,5;38,5;38,5;38,5;38,5;25,5;38,5;38,5;38,5;38,5;38,5;45
7;4;4;4;4;4;4;14,5;14,5;4;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5;33;33;33;33;14,5;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;45
8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;25;25;25;25;25;25;25;25;25;25;25;25;25;25;38,5;38,5;38,5;25;38,5;38,5;38,5;38,5;38,5;38,5;38,5;38,5;38,5;45
9;2,55681818181818;2,55681818181818;2,55681818181818;2,55681818181818;6,64772727272727;6,64772727272727;6,64772727272727;6,64772727272727;13,8068181818182;13,8068181818182;13,8068181818182;13,8068181818182;13,8068181818182;13,8068181818182;13,8068181818182;13,8068181818182;13,8068181818182;13,8068181818182;25,0568181818182;25,0568181818182;25,0568181818182;25,0568181818182;25,0568181818182;25,0568181818182;25,0568181818182;25,0568181818182;25,0568181818182;25,0568181818182;25,0568181818182;37,3295454545455;25,0568181818182;37,3295454545455;;37,3295454545455;37,3295454545455;37,3295454545455;37,3295454545455;37,3295454545455;37,3295454545455;37,3295454545455;37,3295454545455;37,3295454545455;43,9772727272727;37,3295454545455;45
10;2,5;2,5;2,5;2,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;22,5;22,5;22,5;22,5;22,5;22,5;32;32;32;22,5;32;41,5;32;22,5;41,5;32;41,5;32;32;32;32;41,5;32;41,5;41,5;41,5;41,5
11;4;4;4;4;4;14;4;14;14;14;14;4;14;14;14;14;14;14;26;14;26;26;26;26;26;26;26;26;26;14;38,5;38,5;26;38,5;38,5;38,5;38,5;38,5;38,5;38,5;38,5;38,5;38,5;38,5;38,5
average;4,58958087367178;4,58958087367178;4,58958087367178;5,31685360094451;7,32511806375443;8,23420897284534;9,0978453364817;10,2647727272727;10,4304899645809;11,3850354191263;11,3850354191263;11,7806818181818;12,4077626918536;12,4077626918536;12,4077626918536;12,4077626918536;14,1123081463991;17,2306818181818;23,5311393152302;23,5765938606848;24,8395808736718;24,8395808736718;24,8395808736718;24,8395808736718;26,758412042503;26,9304899645809;27,2129574970484;27,3395808736718;28,4402302243211;29,3286599763873;30,758412042503;33,6468417945691;33,8785714285714;34,3741145218418;35,3286599763873;35,6468417945691;35,6922963400236;35,6922963400236;35,7377508854782;36,55593270366;36,9195690672963;37,7832054309327;38,3875442739079;38,5104781582054;42,1168831168831